kode_golongan;kode_bidang;kode_kelompok;kode_sub_kelompok;nama_sub_kelompok
2;1;12;1;TANAH BANGUNAN PERUMAHAN/GDG. TEMPAT TINGGAL
2;1;12;2;TANAH UNTUK BANGUNAN GEDUNG PERDAGANGAN
2;1;12;3;TANAH UNTUK BANGUNAN INDUSTRI
2;1;12;4;TANAH UNTUK BANGUNAN TEMPAT KERJA/JASA
2;1;12;5;TANAH KOSONG
2;1;12;6;TANAH PETERNAKAN
2;1;12;7;TANAH BANGUNAN PENGAIRAN
2;1;12;8;TANAH BANGUNAN JALAN DAN JEMBATAN
2;1;12;9;TANAH LEMBIRAN/BANTARAN/LEPE-LEPE/SETREN DST
2;1;13;0;TANAH UNTUK BANGUNAN BUKAN GEDUNG
2;1;13;1;TANAH LAPANGAN OLAH RAGA
2;1;13;2;TANAH LAPANGAN PARKIR
2;1;13;3;TANAH LAPANGAN PENIMBUN BARANG
2;1;13;4;TANAH LAPANGAN PEMANCAR DAN STUDIO ALAM
2;1;13;5;TANAH LAPANGAN PENGUJIAN/PENGOLAHAN
2;1;13;6;TANAH LAPANGAN TERBANG
2;1;13;7;TANAH UNTUK BANGUNAN JALAN
2;1;13;8;TANAH UNTUK BANGUNAN AIR
2;1;13;9;TANAH UNTUK BANGUNAN INSTALASI
2;1;13;10;TANAH UNTUK BANGUNAN JARINGAN
2;1;13;11;TANAH UNTUK BANGUNAN BERSEJARAH
2;1;13;12;TANAH UNTUK BANGUNAN GEDUNG OLAH RAGA
2;1;13;13;TANAH UNTUK BANGUNAN TEMPAT IBADAH
2;1;14;0;TANAH PENGGUNAAN LAINNYA
2;1;14;1;PENGGALIAN
3;0;0;0;PERALATAN DAN MESIN
3;1;0;0;ALAT BESAR
3;1;1;0;ALAT BESAR DARAT
3;1;1;1;TRACTOR
3;1;1;2;GRADER
3;1;1;3;EXCAVATOR
3;1;1;4;PILE DRIVER
3;1;1;5;HAULER
3;1;1;6;ASPHALT EQUIPMENT
3;1;1;7;COMPACTING EQUIPMENT
3;1;1;8;AGGREGATE & CONCRETE EQUIPMENT
3;1;1;9;LOADER
3;1;1;10;ALAT PENGANGKAT
3;1;1;11;MESIN PROSES
3;1;1;99;ALAT BESAR DARAT LAINNYA
3;1;2;0;ALAT BESAR APUNG
3;1;2;1;DREDGER
3;1;2;2;FLOATING EXCAVATOR
3;1;2;3;AMPHIBI DREDGER
3;1;2;4;KAPAL TARIK
3;1;2;5;MESIN PROSES APUNG
3;1;2;99;ALAT BESAR APUNG LAINNYA
3;1;3;0;ALAT BANTU
3;1;3;1;ALAT PENARIK
3;1;3;2;FEEDER
3;1;3;3;COMPRESSOR
3;1;3;4;ELECTRIC GENERATING SET
3;1;3;5;POMPA
3;1;3;6;MESIN BOR
3;1;3;7;UNIT PEMELIHARAAN LAPANGAN
3;1;3;8;ALAT PENGOLAHAN AIR KOTOR
3;1;3;9;PEMBANGKIT UAP AIR PANAS/STEAM GENERATOR
3;1;3;12;PERALATAN KEBAKARAN HUTAN
3;1;3;13;PERALATAN SELAM
3;1;3;14;PERALATAN SAR MOUNTENERING
3;1;3;99;ALAT BANTU LAINNYA
3;2;0;0;ALAT ANGKUTAN
3;2;1;0;ALAT ANGKUTAN DARAT BERMOTOR
3;2;1;1;KENDARAAN DINAS BERMOTOR PERORANGAN
3;2;1;2;KENDARAAN BERMOTOR PENUMPANG
3;2;1;3;KENDARAAN BERMOTOR ANGKUTAN BARANG
3;2;1;4;KENDARAAN BERMOTOR BERODA DUA
3;2;1;5;KENDARAAN BERMOTOR KHUSUS
3;2;1;99;ALAT ANGKUTAN DARAT BERMOTOR LAINNYA
3;2;2;0;ALAT ANGKUTAN DARAT TAK BERMOTOR
3;2;2;1;KENDARAAN TAK BERMOTOR ANGKUTAN BARANG
3;2;2;2;KENDARAAN TAK BERMOTOR PENUMPANG
3;2;2;3;ALAT ANGKUTAN KERETA REL TAK BERMOTOR
3;2;2;99;ALAT ANGKUTAN DARAT TAK BERMOTOR LAINNYA
3;2;3;0;ALAT ANGKUTAN APUNG BERMOTOR
3;2;3;1;ALAT ANGKUTAN APUNG BERMOTOR UNTUK BARANG
3;2;3;2;ALAT ANGKUTAN APUNG BERMOTOR UNTUK PENUMPANG
3;2;3;3;ALAT ANGKUTAN APUNG BERMOTOR KHUSUS
3;2;3;99;ALAT ANGKUTAN APUNG BERMOTOR LAINNYA
3;2;4;0;ALAT ANGKUTAN APUNG TAK BERMOTOR
3;2;4;1;ALAT ANGKUTAN APUNG TAK BERMOTOR UNTUK BARANG
3;2;4;2;ALAT ANGKUTAN APUNG TAK BERMOTOR UNTUK PENUMPANG
3;2;4;3;ALAT ANGKUTAN APUNG TAK BERMOTOR KHUSUS
3;2;4;99;ALAT ANGKUTAN APUNG TAK BERMOTOR LAINNYA
3;3;0;0;ALAT BENGKEL DAN ALAT UKUR
3;3;1;0;ALAT BENGKEL BERMESIN
3;3;1;1;PERKAKAS KONSTRUKSI LOGAM TERPASANG PADA PONDASI
3;3;1;2;PERKAKAS KONSTRUKSI LOGAM YANG TRANSPORTABLE (BERPINDAH)
3;3;1;3;PERKAKAS BENGKEL LISTRIK
3;3;1;4;PERKAKAS BENGKEL SERVICE
3;3;1;5;PERKAKAS PENGANGKAT BERMESIN
3;3;1;6;PERKAKAS BENGKEL KAYU
3;3;1;7;PERKAKAS BENGKEL KHUSUS
3;3;1;8;PERALATAN LAS
3;3;1;99;ALAT BENGKEL BERMESIN LAINNYA
3;3;2;0;ALAT BENGKEL TAK BERMESIN
3;3;2;1;PERKAKAS BENGKEL KONSTRUKSI LOGAM
3;3;2;2;PERKAKAS BENGKEL LISTRIK
3;3;2;3;PERKAKAS BENGKEL SERVICE
3;3;2;4;PERKAKAS PENGANGKAT
3;3;2;5;PERKAKAS STANDARD (STANDARD TOOLS)
3;3;2;6;PERKAKAS KHUSUS (SPECIAL TOOLS)
3;3;2;7;PERKAKAS BENGKEL KERJA
3;3;2;8;PERALATAN TUKANG BESI
3;3;2;9;PERALATAN TUKANG KAYU
3;3;2;10;PERALATAN TUKANG KULIT
3;3;2;11;PERALATAN UKUR, GIP & FETING
3;3;2;12;PERALATAN BENGKEL KHUSUS PELADAM
3;3;2;99;ALAT BENGKEL TAK BERMESIN LAINNYA
3;3;3;0;ALAT UKUR
3;3;3;1;ALAT UKUR UNIVERSAL
3;3;3;2;UNIVERSAL TESTER
3;3;3;3;ALAT UKUR/PEMBANDING
3;3;3;4;ALAT UKUR LAINNYA
3;3;3;5;ALAT TIMBANGAN/BIARA
3;3;3;6;ANAK TIMBANGAN / BIARA
3;3;3;7;TAKARAN KERING
3;3;3;8;TAKARAN BAHAN BANGUNAN
3;3;3;9;TAKARAN LAINNYA
3;4;0;0;ALAT PERTANIAN
3;4;1;0;ALAT PENGOLAHAN
3;4;1;1;ALAT PENGOLAHAN TANAH DAN TANAMAN
3;4;1;2;ALAT PEMELIHARAAN TANAMAN/IKAN/TERNAK
3;4;1;3;ALAT PANEN
3;4;1;4;ALAT PENYIMPAN HASIL PERCOBAAN PERTANIAN
3;4;1;5;ALAT LABORATORIUM PERTANIAN
3;4;1;6;ALAT PROSESING
3;4;1;7;ALAT PASCA PANEN
3;4;1;8;ALAT PRODUKSI PERIKANAN
3;4;1;99;ALAT PENGOLAHAN LAINNYA
3;5;0;0;ALAT KANTOR & RUMAH TANGGA
3;5;1;0;ALAT KANTOR
3;5;1;1;MESIN KETIK
3;5;1;2;MESIN HITUNG/MESIN JUMLAH
3;5;1;3;ALAT REPRODUKSI (PENGGANDAAN)
3;5;1;4;ALAT PENYIMPAN PERLENGKAPAN KANTOR
3;5;1;5;ALAT KANTOR LAINNYA
3;5;1;99;ALAT KANTOR LAINNYA
3;5;2;0;ALAT RUMAH TANGGA
3;5;2;1;MEUBELAIR
3;5;2;2;ALAT PENGUKUR WAKTU
3;5;2;3;ALAT PEMBERSIH
3;5;2;4;ALAT PENDINGIN
3;5;2;5;ALAT DAPUR
3;5;2;6;ALAT RUMAH TANGGA LAINNYA ( HOME USE )
3;5;2;99;ALAT RUMAH TANGGA LAINNYA
3;6;0;0;ALAT STUDIO, KOMUNIKASI DAN PEMANCAR
3;6;1;0;ALAT STUDIO
3;6;1;1;PERALATAN STUDIO AUDIO
3;6;1;2;PERALATAN STUDIO VIDEO DAN FILM
3;6;1;3;PERALATAN STUDIO GAMBAR
3;6;1;4;PERALATAN CETAK
3;6;1;5;PERALATAN STUDIO PEMETAAN/PERALATAN UKUR TANAH
3;6;1;99;ALAT STUDIO LAINNYA
3;6;2;0;ALAT KOMUNIKASI
3;6;2;1;ALAT KOMUNIKASI TELEPHONE
3;6;2;2;ALAT KOMUNIKASI RADIO SSB
3;6;2;3;ALAT KOMUNIKASI RADIO HF/FM
3;6;2;4;ALAT KOMUNIKASI RADIO VHF
3;6;2;5;ALAT KOMUNIKASI RADIO UHF
3;6;2;6;ALAT KOMUNIKASI SOSIAL
3;6;2;7;ALAT-ALAT SANDI
3;6;2;8;ALAT KOMUNIKASI KHUSUS
3;6;2;9;ALAT KOMUNIKASI DIGITAL DAN KONVENSIONAL
3;6;2;10;ALAT KOMUNIKASI SATELIT
3;6;2;99;ALAT KOMUNIKASI LAINNYA
3;6;3;0;PERALATAN PEMANCAR
3;6;3;1;PERALATAN PEMANCAR MF/MW
3;6;3;2;PERALATAN PEMANCAR HF/SW
3;6;3;3;PERALATAN PEMANCAR VHF/FM
3;6;3;4;PERALATAN PEMANCAR UHF
3;6;3;5;PERALATAN PEMANCAR SHF
3;6;3;6;PERALATAN ANTENA MF/MW
3;6;3;7;PERALATAN ANTENA HF/SW
3;6;3;8;PERALATAN ANTENA VHF/FM
3;6;3;9;PERALATAN ANTENA UHF
3;6;3;10;PERALATAN ANTENA SHF/PARABOLA
3;6;3;11;PERALATAN TRANSLATOR VHF/VHF
3;6;3;12;PERALATAN TRANSLATOR UHF/UHF
3;6;3;13;PERALATAN TRANSLATOR VHF/UHF
3;6;3;14;PERALATAN TRANSLATOR UHF/VHF
3;6;3;15;PERALATAN MICROWAVE F P U
3;6;3;16;PERALATAN MICROWAVE TERESTRIAL
3;6;3;17;PERALATAN MICROWAVE TVRO
3;6;3;18;PERALATAN DUMMY LOAD
3;6;3;19;SWITCHER ANTENA
3;6;3;20;SWITCHER/MENARA ANTENA
3;6;3;21;FEEDER
3;6;3;22;HUMIDITY CONTROL
3;6;3;23;PROGRAM INPUT EQUIPMENT
3;6;3;24;PERALATAN ANTENE PENERIMA VHF
3;6;3;25;PERALATAN PEMANCAR LF
3;6;3;26;UNIT PEMANCAR MF+HF
3;6;3;27;PERALATAN ANTENA PEMANCAR MF+HF
3;6;3;28;PERALATAN PENERIMA
3;6;3;29;PERALATAN PEMANCAR DAN PENERIMA LF
3;6;3;30;PERALATAN PEMANCAR DAN PENERIMA MF
3;6;3;31;PERALATAN PEMANCAR DAN PENERIMA HF
3;6;3;32;PERALATAN PEMANCAR DAN PENERIMA MF+HF
3;6;3;33;PERALATAN PEMANCAR DAN PENERIMA VHF
3;6;3;34;PERALATAN PEMANCAR DAN PENERIMA UHF
3;6;3;35;PERALATAN PEMANCAR DAN PENERIMA SHF
3;6;3;36;PERALATAN ANTENA PEMANCAR DAN PENERIMA LF
3;6;3;37;PERALATAN ANTENA PEMANCAR DAN PENERIMA MF
3;6;3;38;PERALATAN ANTENA PEMANCAR DAN PENERIMA HF
3;6;3;39;PERALATAN ANTENA PEMANCAR DAN PENERIMA MF+HF
3;6;3;40;PERALATAN ANTENA PEMANCAR DAN PENERIMA VHF
3;6;3;41;PERALATAN ANTENA PEMANCAR DAN PENERIMA UHF
3;6;3;42;PERALATAN ANTENA PEMANCAR DAN PENERIMA SHF
3;6;3;43;PERALATAN PENERIMA CUACA CITRA SATELITE RESOLUSI RENDAH
3;6;3;44;PERALATAN PENERIMA CUACA CITRA SATELITE RESOLUSI TINGGI
3;6;3;45;PERALATAN PENERIMA DAN PENGIRIM GAMBAR KE PERMUKAAN
3;6;3;46;PERALATAN PERLENGKAPAN RADIO
3;6;3;47;SUMBER TENAGA
3;6;3;99;PERALATAN PEMANCAR LAINNYA
3;6;4;0;PERALATAN KOMUNIKASI NAVIGASI
3;6;4;1;PERALATAN KOMUNIKASI NAVIGASI INSTRUMEN LANDING SYSTEM
3;6;4;2;VERY HIGHT FREQUENCE OMNI RANGE (VOR)
3;6;4;3;DISTANCE MEASURING EQUIPMENT (DME)
3;6;4;4;RADAR
3;6;4;5;ALAT PENGATUR TELEKOMUNIKASI
3;6;4;6;PERALATAN KOMUNIKASI UNTUK DOKUMENTASI
3;6;4;99;PERALATAN KOMUNIKASI NAVIGASI LAINNYA
3;7;0;0;KOMPUTER
3;7;1;0;KOMPUTER UNIT
3;7;1;1;KOMPUTER JARINGAN
3;7;1;2;PERSONAL KOMPUTER
3;7;1;99;KOMPUTER UNIT LAINNYA
3;7;2;0;PERALATAN KOMPUTER
3;7;2;1;PERALATAN MAINFRAME
3;7;2;2;PERALATAN MINI KOMPUTER
3;7;2;3;PERALATAN PERSONAL KOMPUTER
3;7;2;4;PERALATAN JARINGAN
3;7;2;99;PERALATAN KOMPUTER LAINNYA
3;8;0;0;ALAT PENGEBORAN
3;8;1;0;ALAT PENGEBORAN MESIN
3;8;1;1;BOR MESIN TUMBUK
3;8;1;2;BOR MESIN PUTAR
3;8;1;99;ALAT PENGEBORAN MESIN LAINNYA
3;8;2;0;ALAT PENGEBORAN NON MESIN
3;8;2;1;BANGKA
3;8;2;2;PANTEK
3;8;2;3;PUTAR
3;8;2;4;PERALATAN BANTU
3;8;2;99;ALAT PENGEBORAN NON MESIN LAINNYA
3;9;0;0;ALAT PRODUKSI, PENGOLAHAN DAN PEMURNIAN
3;9;1;0;SUMUR
3;9;1;1;PERALATAN SUMUR MINYAK
3;9;1;2;SUMUR PEMBORAN
3;9;1;99;SUMUR LAINNYA
3;9;2;0;PRODUKSI
3;9;2;1;R I G
3;9;2;99;PRODUKSI LAINNYA
3;9;3;0;PENGOLAHAN DAN PEMURNIAN
3;9;3;1;ALAT PENGOLAHAN MINYAK
3;9;3;2;ALAT PENGOLAHAN AIR
3;9;3;3;ALAT PENGOLAHAN STEAM
3;9;3;4;ALAT PENGOLAHAN WAX
3;9;3;99;PENGOLAHAN DAN PEMURNIAN LAINNYA
3;10;0;0;PERALATAN OLAH RAGA
3;10;1;0;PERALATAN OLAH RAGA
3;10;1;1;PERALATAN OLAH RAGA ATLETIK
3;10;1;2;PERALATAN PERMAINAN
3;10;1;3;PERALATAN SENAM
3;10;1;4;PARALATAN OLAH RAGA AIR
3;10;1;5;PERALATAN OLAH RAGA UDARA
3;10;1;6;PERALATAN OLAH RAGA LAINNYA
4;0;0;0;GEDUNG DAN BANGUNAN
4;1;0;0;BANGUNAN GEDUNG
4;1;1;0;BANGUNAN GEDUNG TEMPAT KERJA
4;1;1;1;BANGUNAN GEDUNG KANTOR
4;1;1;2;BANGUNAN GUDANG
4;1;1;3;BANGUNAN GEDUNG UNTUK BENGKEL
4;1;1;4;BANGUNAN GEDUNG INSTALASI
4;1;1;5;BANGUNAN GEDUNG LABORATORIUM
4;1;1;6;BANGUNAN KESEHATAN
4;1;1;7;BANGUNAN GEDUNG TEMPAT IBADAH
4;1;1;8;BANGUNAN GEDUNG TEMPAT PERTEMUAN
4;1;1;9;BANGUNAN GEDUNG TEMPAT PENDIDIKAN
4;1;1;10;BANGUNAN GEDUNG TEMPAT OLAH RAGA
4;1;1;11;BANGUNAN GEDUNG PERTOKOAN/KOPERASI/PASAR
4;1;1;12;BANGUNAN GEDUNG GARASI/POOL
4;1;1;13;BANGUNAN GEDUNG PEMOTONG HEWAN
4;1;1;14;BANGUNAN GEDUNG PERPUSTAKAAN
4;1;1;15;BANGUNAN GEDUNG MUSIUM
4;1;1;16;BANGUNAN GEDUNG TERMINAL/PELABUHAN
4;1;1;17;BANGUNAN TERBUKA
4;1;1;18;BANGUNAN PENAMPUNG SEKAM
4;1;1;19;BANGUNAN TEMPAT PELELANGAN IKAN (TPI)
4;1;1;20;BANGUNAN INDUSTRI
4;1;1;21;BANGUNAN PETERNAKAN/PERIKANAN
4;1;1;22;BANGUNAN GEDUNG TEMPAT KERJA LAINNYA
4;1;1;23;BANGUNAN FASILITAS UMUM
4;1;1;24;BANGUNAN PARKIR
4;1;1;25;TAMAN
4;1;1;99;BANGUNAN GEDUNG TEMPAT KERJA LAINNYA
4;1;2;1;HOTEL
4;1;2;2;MOTEL
4;1;2;3;PANTI ASUHAN
4;1;2;99;BANGUNAN GEDUNG TEMPAT TINGGAL LAINNYA
4;2;0;0;MONUMEN
4;2;1;0;CANDI/TUGU PERINGATAN/PRASASTI
4;2;1;1;CANDI
4;2;1;2;TUGU
4;2;1;3;BANGUNAN PENINGGALAN
4;2;1;99;CANDI/TUGU PERINGATAN/PRASASTI LAINNYA
5;0;0;0;JALAN, IRIGASI DAN JARINGAN
5;1;0;0;JALAN DAN JEMBATAN
5;1;1;0;JALAN
5;1;1;1;JALAN DESA
5;1;1;2;JALAN KHUSUS
5;1;1;99;JALAN LAINNYA
5;1;2;0;JEMBATAN
5;1;2;1;JEMBATAN PADA JALAN DESA
5;1;2;2;JEMBATAN PADA JALAN KHUSUS
5;1;2;3;JEMBATAN PENYEBERANGAN
5;1;2;4;JEMBATAN LABUH/SANDAR PADA TERMINAL
5;1;2;5;JEMBATAN PENGUKUR
5;1;2;99;JEMBATAN LAINNYA
5;2;0;0;BANGUNAN AIR
5;2;1;0;BANGUNAN AIR IRIGASI
5;2;1;1;BANGUNAN WADUK IRIGASI
5;2;1;2;BANGUNAN PENGAMBILAN IRIGASI
5;2;1;3;BANGUNAN PEMBAWA IRIGASI
5;2;1;4;BANGUNAN PEMBUANG IRIGASI
5;2;1;5;BANGUNAN PENGAMAN IRIGASI
5;2;1;6;BANGUNAN PELENGKAP IRIGASI
5;2;1;7;BANGUNAN SAWAH IRIGASI
5;2;1;99;BANGUNAN AIR IRIGASI LAINNYA
5;2;2;0;BANGUNAN PENGAIRAN PASANG SURUT
5;2;2;1;BANGUNAN WADUK PASANG SURUT
5;2;2;2;BANGUNAN PENGAMBILAN PASANG SURUT
5;2;2;3;BANGUNAN PEMBAWA PASANG SURUT
5;2;2;4;SALURAN PEMBUANG PASANG SURUT
5;2;2;5;BANGUNAN PENGAMAN PASANG SURUT
5;2;2;6;BANGUNAN PELENGKAP PASANG SURUT
5;2;2;7;BANGUNAN SAWAH PASANG SURUT
5;2;2;99;BANGUNAN PENGAIRAN PASANG SURUT LAINNYA
5;2;3;0;BANGUNAN PENGEMBANGAN RAWA DAN POLDER
5;2;3;1;BANGUNAN WADUK PENGEMBANGAN RAWA
5;2;3;2;BANGUNAN PENGAMBILAN PENGEMBANGAN RAWA
5;2;3;3;BANGUNAN PEMBAWA PENGEMBANGAN RAWA
5;2;3;4;BANGUNAN PEMBUANG PENGEMBANGAN RAWA
5;2;3;5;BANGUNAN PENGAMAN PENGEMBANGAN RAWA
5;2;3;6;BANGUNAN PELENGKAP PENGEMBANGAN RAWA
5;2;3;7;BANGUNAN SAWAH PENGEMBANGAN RAWA
5;2;3;99;BANGUNAN PENGEMBANGAN RAWA DAN POLDER LAINNYA
5;2;4;0;BANGUNAN PENGAMAN SUNGAI/PANTAI & PENANGGULANGAN BENCANA ALAM
5;2;4;1;BANGUNAN PENGAMAN SUNGAI/PANTAI & PENANGGULANGAN BENCANA ALAM
5;2;4;2;BANGUNAN PENGAMBILAN PENGAMAN SUNGAI/PANTAI
5;2;4;3;BANGUNAN PEMBAWA PENGAMAN SUNGAI/PANTAI
5;2;4;4;BANGUNAN PEMBUANG PENGAMAN SUNGAI
5;2;4;5;BANGUNAN PENGAMAN PENGAMANAN SUNGAI/PANTAI
5;2;4;6;BANGUNAN PELENGKAP PENGAMAN SUNGAI
5;2;4;99;BANGUNAN PENGAMAN SUNGAI/PANTAI & PENANGGULANGAN BENCANA ALAM LAINNYA
5;2;5;0;BANGUNAN PENGEMBANGAN SUMBER AIR DAN AIR TANAH
5;2;5;1;BANGUNAN WADUK PENGEMBANGAN SUMBER AIR
5;2;5;2;BANGUNAN PENGAMBILAN PENGEMBANGAN SUMBER AIR
5;2;5;3;BANGUNAN PEMBAWA PENGEMBANGAN SUMBER AIR
5;2;5;4;BANGUNAN PEMBUANG PENGEMBANGAN SUMBER AIR
5;2;5;5;BANGUNAN PENGAMAN PENGEMBANGAN SUMBER AIR
5;2;5;6;BANGUNAN PELENGKAP PENGEMBANGAN SUMBER AIR
5;2;5;7;BANGUNAN SAWAH IRIGASI AIR TANAH
5;2;5;99;BANGUNAN PENGEMBANGAN SUMBER AIR DAN AIR TANAH LAINNYA
5;2;6;0;BANGUNAN AIR BERSIH/AIR BAKU
5;2;6;1;BANGUNAN WADUK AIR BERSIH/AIR BAKU
5;2;6;2;BANGUNAN PENGAMBILAN AIR BERSIH/AIR BAKU
5;2;6;3;BANGUNAN PEMBAWA AIR BERSIH/AIR BAKU
5;2;6;4;BANGUNAN PEMBUANG AIR BERSIH/AIR BAKU
5;2;6;5;BANGUNAN PELENGKAP AIR BERSIH/AIR BAKU
5;2;6;99;BANGUNAN AIR BERSIH/AIR BAKU LAINNYA
5;2;7;0;BANGUNAN AIR KOTOR
5;2;7;1;BANGUNAN PEMBAWA AIR KOTOR
5;2;7;2;BANGUNAN WADUK AIR KOTOR
5;2;7;3;BANGUNAN PEMBUANG AIR KOTOR
5;2;7;4;BANGUNAN PENGAMAN AIR KOTOR
5;2;7;5;BANGUNAN PELENGKAP AIR KOTOR
5;2;7;99;BANGUNAN AIR KOTOR LAINNYA
5;3;0;0;INSTALASI
5;3;1;0;INSTALASI AIR BERSIH / AIR BAKU
5;3;1;1;INSTALASI AIR PERMUKAAN
5;3;1;2;INSTALASI AIR SUMBER / MATA AIR
5;3;1;3;INSTALASI AIR TANAH DALAM
5;3;1;4;INSTALASI AIR TANAH DANGKAL
5;3;1;5;INSTALASI AIR BERSIH / AIR BAKU LAINNYA
5;3;1;99;INSTALASI AIR BERSIH / AIR BAKU LAINNYA
5;3;2;0;INSTALASI AIR KOTOR
5;3;2;1;INSTALASI AIR BUANGAN DOMESTIK
5;3;2;2;INSTALASI AIR BUANGAN INDUSTRI
5;3;2;3;INSTALASI AIR BUANGAN PERTANIAN
5;3;2;99;INSTALASI AIR KOTOR LAINNYA
5;3;3;0;INSTALASI PENGOLAHAN SAMPAH
5;3;3;1;INSTALASI PENGOLAHAN SAMPAH ORGANIK
