kode_golongan;kode_bidang;kode_kelompok;nama_kelompok
5;4;3;JARINGAN TELEPON
5;4;4;JARINGAN GAS
6;0;0;ASET TETAP LAINNYA
6;1;0;BAHAN PERPUSTAKAAN
6;1;1;BAHAN PERPUSTAKAAN TERCETAK
6;1;2;BAHAN PERPUSTAKAAN TEREKAM DAN BENTUK MIKRO
6;1;3;KARTOGRAFI, NASKAH DAN LUKISAN
6;2;0;BARANG BERCORAK KESENIAN/KEBUDAYAAN/OLAHRAGA
6;2;1;BARANG BERCORAK KESENIAN
6;2;2;ALAT BERCORAK KEBUDAYAAN
6;2;3;TANDA PENGHARGAAN BIDANG OLAH RAGA
6;3;0;HEWAN
6;3;1;HEWAN PIARAAN
6;3;2;TERNAK
6;3;3;HEWAN LAINNYA
6;4;0;IKAN
6;4;1;IKAN BERSIRIP (PISCES/IKAN BERSIRIP)
6;4;2;CRUSTEA (UDANG, RAJUNGAN, KEPITING, DAN SEBANGSANYA)
6;4;3;MOLLUSCA (KERANG, TIRAM, CUMI-CUMI, GURITA, SIPUT, DAN SEBANGSANYA)
6;4;4;COELENTERATA (UBUR-UBUR DAN SEBANGSANYA)
6;4;5;ECHINODERMATA (TRIPANG, BULU BABI, DAN SEBANGSANYA)
6;4;6;AMPHIBIA (KODOK DAN SEBANGSANYA)
6;4;7;REPTILIA (BUAYA, PENYU, KURA-KURA, BIAWAK, ULAR AIR, DAN SEBANGSANYA
6;4;8;MAMMALIA (PAUS, LUMBA-LUMBA, PESUT, DUYUNG, DAN SEBANGSANYA)
6;4;9;ALGAE (RUMPUT LAUT DAN TUMBUH-TUMBUHAN LAIN YANG HIDUP DI DALAM AIR)
6;4;10;BIOTA PERAIRAN LAINNYA
6;5;0;TANAMAN
6;5;1;TANAMAN
6;6;0;ASET TETAP DALAM  RENOVASI
6;6;1;ASET TETAP DALAM  RENOVASI
7;0;0;KONSTRUKSI DALAM PENGERJAAN
7;1;0;KONSTRUKSI DALAM PENGERJAAN
7;1;1;KONSTRUKSI DALAM PENGERJAAN
8;0;0;ASET TAK BERWUJUD
8;1;0;ASET TAK BERWUJUD
8;1;1;ASET TAK BERWUJUD
8;2;0;ASET TAK BERWUJUD DALAM PENGERJAAN
8;2;1;ASET TAK BERWUJUD DALAM PENGERJAAN
