kode_golongan;kode_bidang;kode_kelompok;kode_sub_kelompok;kode_sub_sub_kelompok;nama_sub_sub_kelompok
1;1;2;1;5;Suku Cadang Alat Angkutan Udara Bermotor
1;1;2;1;999;Suku Cadang Alat Angkutan Lainnya
1;1;2;2;0;SUKU CADANG ALAT BESAR
1;1;2;2;1;Suku Cadang Alat Besar Darat
1;1;2;2;2;Suku Cadang Alat Besar Apung
1;1;2;2;3;Suku Cadang Alat Besar Bantu
1;1;2;2;999;Suku Cadang Alat Besar Lainnya
1;1;2;3;0;SUKU CADANG ALAT KEDOKTERAN
1;1;2;3;1;Suku Cadang Alat Kedokteran Umum
1;1;2;3;2;Suku Cadang Alat Kedokteran Gigi
1;1;2;3;3;Suku Cadang Alat Kedokteran Keluarga Berencana
1;1;2;3;4;Suku Cadang Alat Kedokteran Bedah
1;1;2;3;5;Suku Cadang Alat Kedokteran Kebidanan Dan Penyakit Kandungan
1;1;2;3;6;Suku Cadang Alat Kedokteran THT
1;1;2;3;7;Suku Cadang Alat Kedokteran Mata
1;1;2;3;8;Suku Cadang Alat Kedokteran Penyakit Dalam
1;1;2;3;9;Suku Cadang Alat Kedokteran Alat Kesehatan Anak
1;1;2;3;10;Suku Cadang Alat Kedokteran Poliklinik Set
1;1;2;3;11;Suku Cadang Alat Kedokteran Untuk Penderita Cacat Tubuh
1;1;2;3;12;Suku Cadang Alat Kedokteran Syaraf
1;1;2;3;13;Suku Cadang Alat Kedokteran Jantung
1;1;2;3;14;Suku Cadang Alat Kedokteran Nuklir
1;1;2;3;15;Suku Cadang Alat Kedokteran Radiologi
1;1;2;3;16;Suku Cadang Alat Kedokteran Kulit Dan Kelamin
1;1;2;3;17;Suku Cadang Alat Kedokteran Ugd
1;1;2;3;18;Suku Cadang Alat Kedokteran Hematologi
1;1;2;3;19;Suku Cadang Alat Kedokteran Hewan
1;1;2;3;999;Suku Cadang Alat Kedokteran Lainnya
1;1;2;4;0;SUKU CADANG ALAT LABORATORIUM
1;1;2;4;1;Suku Cadang Alat Laboratorium Kimia Air Taknik Penyehatan
1;1;2;4;2;Suku Cadang Alat Laboratorium Micro Biologi Penyehatan
1;1;2;4;3;Suku Cadang Alat Laboratorium Hidro Kimia
1;1;2;4;4;Suku Cadang Alat Laboratorium Model Hidrolika
1;1;2;4;5;Suku Cadang Alat Laboratorium Batuan/Geologi
1;1;2;4;6;Suku Cadang Alat Laboratorium Bahan Bangunan Konstruksi
1;1;2;4;7;Suku Cadang Alat Laboratorium  Aspal, Cat Dan Kimia
1;1;2;4;8;Suku Cadang Alat Laboratorium  Mekanika Tanah Dan Batuan
1;1;2;4;9;Suku Cadang Alat Laboratorium Cocok Tanam
1;1;2;4;10;Suku Cadang Alat Laboratorium Logam, Mesin Dan Listrik
1;1;2;4;11;Suku Cadang Alat Laboratorium Umum
1;1;2;4;12;Suku Cadang Alat Laboratorium Microbiologi
1;1;2;4;13;Suku Cadang Alat Laboratorium Kimia
1;1;2;4;14;Suku Cadang Alat Laboratorium Patologi
1;1;2;4;15;Suku Cadang Alat Laboratorium Immunologi
1;1;2;4;16;Suku Cadang Alat Laboratorium Film
1;1;2;4;17;Suku Cadang Alat Laboratorium Radio Isotop
1;1;2;4;18;Suku Cadang Alat Laboratorium Makanan
1;1;2;4;19;Suku Cadang Alat Laboratorium Aero Dinamika
1;1;2;4;20;Suku Cadang Alat Laboratorium Standarisasi Kaliberasi Dan Instrumen Lainnya
1;1;2;4;21;Suku Cadang Alat Laboratorium Farmasi
1;1;2;4;22;Suku Cadang Alat Laboratorium Pemantauan Kualitas Udara
1;1;2;4;23;Suku Cadang Alat Laboratorium Fisika
1;1;2;4;24;Suku Cadang Alat Laboratorium Hidrodinamika
1;1;2;4;25;Suku Cadang Alat Laboratorium Pengkajian Teknik Pantai
1;1;2;4;26;Suku Cadang Alat Laboratorium Kematologi
1;1;2;4;27;Suku Cadang Alat Laboratorium Proses Peleburan
1;1;2;4;28;Suku Cadang Alat Laboratorium Pasir
1;1;2;4;29;Suku Cadang Alat Laboratorium Proses Pembuatan Cetakan
1;1;2;4;30;Suku Cadang Alat Laboratorium Proses Pembuatan Pola
1;1;2;4;31;Suku Cadang Alat Laboratorium Metalography
1;1;2;4;32;Suku Cadang Alat Laboratorium Proses Pengelasan
1;1;2;4;33;Suku Cadang Alat Laboratorium Uji Proses Pengelasan
1;1;2;4;34;Suku Cadang Alat Laboratorium Proses Pembuatan Logam
1;1;2;4;35;Suku Cadang Alat Laboratorium Metrologie
1;1;2;4;36;Suku Cadang Alat Laboratorium Proses Pelapisan Logam
1;1;2;4;37;Suku Cadang Alat Laboratorium Proses Pengolahan Panas
1;1;2;4;38;Suku Cadang Alat Laboratorium Proses Teknologi Tekstil
1;1;2;4;39;Suku Cadang Alat Laboratorium Uji Tekstil
1;1;2;4;40;Suku Cadang Alat Laboratorium Proses Teknologi Keramik
1;1;2;4;41;Suku Cadang Alat Laboratorium Proses Teknologi Kulit Karet
1;1;2;4;42;Suku Cadang Alat Laboratorium Uji Kulit Karet Dan Plastik
1;1;2;4;43;Suku Cadang Alat Laboratorium Alat Uji Keramik
1;1;2;4;44;Suku Cadang Alat Laboratorium Proses Teknologi Selulosa
1;1;2;4;45;Suku Cadang Alat Laboratorium  Paska Panen
1;1;2;4;46;Suku Cadang Alat Laboratorium Pertanian (Suku Cadang Alat Laboratorium)
1;1;2;4;47;Suku Cadang Alat Laboratorium Kualitas Air
1;1;2;4;48;Suku Cadang Alat Laboratorium Elektronika Dan Daya
1;1;2;4;49;Suku Cadang Alat Laboratorium Energi Surya
1;1;2;4;50;Suku Cadang Alat Laboratorium Konversi Batubara Dan Bioma
1;1;2;4;51;Suku Cadang Alat Laboratorium Oceanografi
1;1;2;4;52;Suku Cadang Alat Laboratorium Perairan
1;1;2;4;53;Suku Cadang Alat Laboratorium Biologi
1;1;2;4;54;Suku Cadang Alat Laboratorium Geofisika
1;1;2;4;55;Suku Cadang Alat Laboratorium Tambang
1;1;2;4;56;Suku Cadang Alat Laboratorium Tambang Proses/Teknik Kimia
1;1;2;4;57;Suku Cadang Alat Laboratorium Proses Industri
1;1;2;4;58;Suku Cadang Alat Laboratorium Kesehatan Kerja
1;1;2;4;59;Suku Cadang Alat Laboratorium Kearsipan
1;1;2;4;60;Suku Cadang Alat Laboratorium Perikanan dan Kelautan
1;1;2;4;999;Suku Cadang Alat Laboratorium Lainnya
1;1;2;5;0;SUKU CADANG ALAT PEMANCAR
1;1;2;5;1;Suku Cadang Alat Pemancar MF/MW
1;1;2;5;2;Suku Cadang Alat Pemancar HF/SW
1;1;2;5;3;Suku Cadang Alat Pemancar FHF/MF
1;1;2;5;4;Suku Cadang Alat Pemancar UHF
1;1;2;5;5;Suku Cadang Alat Pemancar SHF
1;1;2;5;999;Suku Cadang Alat Pemancar Lainnya
1;1;2;6;0;SUKU CADANG ALAT STUDIO DAN KOMUNIKASI
1;1;2;6;1;Suku Cadang Alat Studio
1;1;2;6;2;Suku Cadang Alat Komunikasi
1;1;2;6;999;Suku Cadang Alat Studio Dan Komunikasi Lainnya
1;1;2;7;0;SUKU CADANG ALAT PERTANIAN
1;1;2;7;1;Suku Cadang Alat Pengolahan Ternak Dan Tanaman
1;1;2;7;2;Suku Cadang Alat Pemeliharaan Tanaman/Ikan/Ternak
1;1;2;7;3;Suku Cadang Alat Panen
1;1;2;7;4;Suku Cadang Alat Penyimpanan Hasil Percobaan Pertanian
1;1;2;7;5;Suku Cadang Alat Laboratorium Pertanian (Suku Cadang Alat Pertanian)
1;1;2;7;6;Suku Cadang Alat Prossesing
1;1;2;7;7;Suku Cadang Alat Paska Panen
1;1;2;7;8;Suku Cadang Alat Produksi
1;1;2;7;999;Suku Cadang Alat Pertanian Lainnya
1;1;2;8;0;SUKU CADANG ALAT BENGKEL
1;1;2;8;1;Suku Cadang Alat Bengkel Bermesin
1;1;2;8;2;Suku Cadang Alat Bengkel Tidak Bermesin
1;1;2;8;999;Suku Cadang Alat Bengkel Lainnya
1;1;2;99;0;SUKU CADANG LAINNYA
1;1;2;99;999;Suku Cadang Lainnya
1;1;3;0;0;ALAT/BAHAN UNTUK KEGIATAN KANTOR
1;1;3;1;0;ALAT TULIS KANTOR
1;1;3;1;1;Alat Tulis
1;1;3;1;2;Tinta Tulis, Tinta Stempel
1;1;3;1;3;Penjepit Kertas
1;1;3;1;4;Penghapus/Korektor
1;1;3;1;5;Buku Tulis
1;1;3;1;6;Ordner Dan Map
1;1;3;1;7;Penggaris
1;1;3;1;8;Cutter (Alat Tulis Kantor)
1;1;3;1;9;Pita Mesin Ketik
1;1;3;1;10;Alat Perekat
1;1;3;1;11;Stadler HD
1;1;3;1;12;Staples
1;1;3;1;13;Isi Staples
1;1;3;1;14;Barang Cetakan
1;1;3;1;15;Seminar Kit
1;1;3;1;999;Alat Tulis Kantor Lainnya
1;1;3;2;0;KERTAS DAN COVER
1;1;3;2;1;Kertas HVS
1;1;3;2;2;Berbagai Kertas
1;1;3;2;3;Kertas Cover
1;1;3;2;4;Amplop
1;1;3;2;5;Kop Surat
1;1;3;2;999;Kertas Dan Cover Lainnya
1;1;3;3;0;BAHAN CETAK
1;1;3;3;1;Transparant Sheet
1;1;3;3;2;Tinta Cetak
1;1;3;3;3;Plat Cetak
1;1;3;3;4;Stensil Sheet
1;1;3;3;5;Chenical/Bahan Kimia Cetak
1;1;3;3;6;Film Cetak
1;1;3;3;999;Bahan Cetak Lainnya
1;1;3;4;0;BAHAN KOMPUTER
1;1;3;4;1;Continuous Form
1;1;3;4;2;Computer File/Tempat Disket
1;1;3;4;3;Pita Printer
1;1;3;4;4;Tinta/Toner Printer
1;1;3;4;5;Disket
1;1;3;4;6;USB/Flash Disk
1;1;3;4;7;kartu Memori
1;1;3;4;8;CD/DVD Drive
1;1;3;4;9;Harddisk Internal
1;1;3;4;10;Mouse
1;1;3;4;11;CD/DVD
1;1;3;4;999;Bahan Komputer Lainnya
1;1;3;5;0;PERABOT KANTOR
1;1;3;5;1;Sapu Dan Sikat
1;1;3;5;2;Alat-Alat Pel Dan Lap
1;1;3;5;3;Ember, Slang, Dan Tempat Air Lainnya
1;1;3;5;4;Keset Dan Tempat Sampah
1;1;3;5;5;Kunci, Kran Dan Semprotan
1;1;3;5;6;Alat Pengikat
1;1;3;5;7;Peralatan Ledeng
1;1;3;5;8;Bahan Kimia Untuk Pembersih
1;1;3;5;9;Alat Untuk Makan Dan Minum
1;1;3;5;10;Kaos Lampu Petromak
1;1;3;5;11;Kaca Lampu Petromak
1;1;3;5;12;Pengharum Ruangan
1;1;3;5;13;Kuas
1;1;3;5;14;Segel/Tanda Pengaman
1;1;3;5;999;Perabot Kantor Lainnya
1;1;3;6;0;ALAT LISTRIK
1;1;3;6;1;Kabel Listrik
1;1;3;6;2;Lampu Listrik
1;1;3;6;3;Stop Kontak
1;1;3;6;4;Saklar
1;1;3;6;5;Stacker
1;1;3;6;6;Balast
1;1;3;6;7;Starter
1;1;3;6;8;Vitting
1;1;3;6;9;Accu
1;1;3;6;10;Batu Baterai
1;1;3;6;11;Stavol
1;1;3;6;999;Alat Listrik Lainnya
1;1;3;7;0;PERLENGKAPAN DINAS
1;1;3;7;1;Bahan Baku Pakaian
1;1;3;7;2;Penutup Kepala
1;1;3;7;3;Penutup Badan
1;1;3;7;4;Penutup Tangan
1;1;3;7;5;Penutup Kaki
1;1;3;7;6;Atribut
1;1;3;7;7;Perlengkapan Lapangan
1;1;3;7;999;Perlengkapan Dinas Lainnya
1;1;3;99;0;ALAT/BAHAN UNTUK KEGIATAN KANTOR LAINNYA
1;1;3;99;999;Alat/bahan Untuk Kegiatan Kantor Lainnya
1;1;4;0;0;OBAT-OBATAN
1;1;4;1;0;OBAT
1;1;4;1;1;Obat Cair
1;1;4;1;2;Obat Padat
1;1;4;1;3;Obat Gas
1;1;4;1;4;Obat Serbuk/Tepung
1;1;4;1;5;Obat Gel/Salep
1;1;4;1;6;Alat/Obat Kontrasepsi Keluarga Berencana
1;1;4;1;7;Non Alat/Obat Kontrasepsi Keluarga Berencana
1;1;4;1;999;Obat Lainnya
1;1;4;99;999;Obat-Obatan Lainnya
1;1;5;0;0;PERSEDIAAN UNTUK DIJUAL/DISERAHKAN
1;1;5;1;0;PERSEDIAAN UNTUK DIJUAL/DISERAHKAN  KEPADA MASYARAKAT
1;1;5;1;1;Pita Cukai, Materai, Leges
1;1;5;1;2;Tanah dan Bangunan
1;1;5;1;3;Hewan dan Tanaman
1;1;5;1;4;Peralatan dan Mesin
1;1;5;1;5;Jalan, Irigasi, dan Jaringan
1;1;5;1;6;Aset Tetap Lainnya
1;1;5;1;7;Aset Lain-lain
1;1;5;1;8;Barang Persediaan
1;1;5;1;999;Persediaan Untuk Dijual/Diserahkan  Kepada Masyarakat Lainnya
1;1;5;99;999;Persediaan Untuk Dijual/diserahkan Lainnya
1;1;6;0;0;PERSEDIAAN UNTUK TUJUAN STRATEGIS/BERJAGA-JAGA
1;1;6;1;0;PERSEDIAAN UNTUK TUJUAN STRATEGIS/BERJAGA-JAGA
1;1;6;1;1;Cadangan Energi
1;1;6;1;2;Cadangan Pangan
1;1;6;1;999;Persediaan Untuk Tujuan Strategis/Berjaga-jaga Lainnya
1;1;6;99;999;Persediaan Untuk Tujuan Strategis/Berjaga-jaga Lainnya
1;1;7;0;0;NATURA DAN PAKAN
1;1;7;1;0;NATURA
1;1;7;1;1;Makanan/Sembako
1;1;7;1;2;Minuman
1;1;7;1;999;Natura Lainnya
1;1;7;2;0;PAKAN
1;1;7;2;1;Pakan Hewan
1;1;7;2;2;Pakan Ikan
1;1;7;2;999;Pakan Lainnya
1;1;7;99;0;NATURA DAN PAKAN LAINNYA
1;1;7;99;999;Natura Dan Pakan Lainnya
1;1;8;0;0;PERSEDIAAN PENELITIAN BIOLOGI
1;1;8;1;0;PERSEDIAAN PENELITIAN BIOLOGI
1;1;8;1;1;Hewan/Ternak
1;1;8;1;2;Biota Laut/Ikan
1;1;8;1;3;Tanaman
1;1;8;1;999;Persediaan Penelitian Biologi Lainnya
1;1;8;99;999;Persediaan Penelitian Biologi Lainnya
1;2;0;0;0;BARANG TAK HABIS PAKAI
1;2;1;0;0;KOMPONEN
1;2;1;1;0;KOMPONEN JEMBATAN BAJA
1;2;1;1;1;Komponen Jembatan Bailley
1;2;1;1;2;Komponen Jembatan Baja Prefab
1;2;1;1;999;Komponen Jembatan Baja Lainnya
1;2;1;2;0;KOMPONEN JEMBATAN PRATEKAN
1;2;1;2;1;Komponen Jembatan Pratekan Prefab
1;2;1;2;999;Komponen Jembatan Pratekan Lainnya
1;2;1;3;0;KOMPONEN PERALATAN
1;2;1;3;1;Dinamo Amper
1;2;1;3;2;Dinamo Start
1;2;1;3;3;Transmisi
1;2;1;3;4;Injection Pump
1;2;1;3;5;Karburator Unit
1;2;1;3;6;Motor Hidrolik
1;2;1;3;7;Engine Bensin
1;2;1;3;8;Engine Diesel
1;2;1;3;999;Komponen Peralatan Lainnya
1;2;1;4;0;KOMPONEN RAMBU-RAMBU
1;2;1;4;1;Komponen Rambu-Rambu Darat
1;2;1;4;999;Komponen Rambu-Rambu Lainnya
1;2;1;5;0;ATTACHMENT
1;2;1;5;1;Blade
1;2;1;5;2;Boom
1;2;1;5;3;Bucket
1;2;1;5;4;Scarifier
1;2;1;5;999;Attachment Lainnya
1;2;1;99;0;KOMPONEN LAINNYA
1;2;1;99;999;Komponen Lainnya
1;2;2;0;0;P I P A
1;2;2;1;0;PIPA AIR BESI TUANG (DCI)
1;2;2;1;1;DCI Filter
1;2;2;1;2;Pipa Air Besi Tuang
1;2;2;1;999;Pipa Air Besi Tuang (DCI) Lainnya
1;2;2;2;0;PIPA ASBES SEMEN (ACP)
1;2;2;2;1;A C P 1,0
1;2;2;2;2;A C P 1,5
1;2;2;2;3;A C P 2,0
1;2;2;2;4;A C P 2,5
1;2;2;2;5;A C P 3,0
1;2;2;2;999;Pipa Asbes Semen (ACP) Lainnya
1;2;2;3;0;PIPA BAJA
1;2;2;3;1;Pipa Baja Gelombang
1;2;2;3;2;Pipa Baja Konstruksi  (CSP)
1;2;2;3;3;Pipa Baja Lapis Polyethelene
1;2;2;3;4;Pipa Baja Lapis Seng (GIP)
1;2;2;3;999;Pipa Baja Lainnya
1;2;2;4;0;PIPA BETON PRATEKAN
1;2;2;4;1;Fitter Pipa Beton Pratekan
1;2;2;4;2;Pipa Beton Pratekan
1;2;2;4;999;Pipa Beton Pratekan Lainnya
1;2;2;5;0;PIPA FIBER GLASS
1;2;2;5;1;Filter Pipa Fiber Glass
1;2;2;5;2;Pipa Fiber Glass
1;2;2;5;999;Pipa Fiber Glass Lainnya
1;2;2;6;0;PIPA PLASTIK PVC (UPVC)
1;2;2;6;1;Pipa Plastik PVC
1;2;2;6;2;UPVC Fitter
1;2;2;6;999;Pipa Plastik PVC (UPVC) Lainnya
1;2;2;99;0;PIPA LAINNYA
1;2;2;99;999;P I P A Lainnya
1;2;3;0;0;RAMBU-RAMBU
1;2;3;1;0;RAMBU-RAMBU
1;2;3;1;1;Rambu - Rambu Lalu Lintas
1;2;3;1;999;Rambu-rambu Lainnya
1;2;3;99;999;Rambu-Rambu Lainnya
1;3;0;0;0;BARANG BEKAS DIPAKAI
1;3;1;0;0;KOMPONEN BEKAS DAN PIPA BEKAS
1;3;1;1;0;KOMPONEN BEKAS
1;3;1;1;1;Komponen Jembatan Baja Bekas
1;3;1;1;2;Komponen Jembatan Pratekan Bekas
1;3;1;1;3;Komponen Peralatan Bekas
1;3;1;1;4;Attachment Bekas
1;3;1;1;5;Kotak dan Bilik Suara
1;3;1;1;999;Komponen Bekas Lainnya
1;3;1;2;0;PIPA BEKAS
1;3;1;2;1;Pipa Air Besi Tuang Bekas
1;3;1;2;2;Pipa Asbes Semen Bekas
1;3;1;2;3;Pipa Baja Bekas
1;3;1;2;4;Pipa Beton Pratekan Bekas
1;3;1;2;5;Pipa Fiber Gelas Bekas
1;3;1;2;6;Pipa Plastik PVC (UPVC) Bekas
1;3;1;2;999;Pipa Bekas Lainnya
1;3;1;99;0;KOMPONEN BEKAS DAN PIPA BEKAS LAINNYA
1;3;1;99;999;Komponen Bekas Dan Pipa Bekas Lainnya
2;0;0;0;0;TANAH
2;1;0;0;0;TANAH DESA
2;1;1;0;0;TANAH KAS DESA
2;1;1;1;0;TANAH BENGKOK
2;1;1;1;1;Tanah Bengkok Kepala Desa
2;1;1;1;999;Tanah Bengkok Lainnya
2;1;1;2;0;TANAH BONDO
2;1;1;3;0;TANAH KALAKERAN NEGERI
2;1;1;4;0;TANAH PECATU
2;1;1;5;0;TANAH PENGAREM-AREM
2;1;1;6;0;TANAH TITISARA
2;1;2;0;0;TANAH PERKAMPUNGAN
2;1;2;1;0;TANAH PERKAMPUNGAN
2;1;2;1;1;Tanah Perkampungan
2;1;2;1;999;Tanah Perkampungan Lainnya
2;1;2;2;0;EMPLASMEN
2;1;2;2;1;Emplasmen
2;1;2;2;999;Emplasmen Lainnya
2;1;2;3;0;TANAH KUBURAN
2;1;2;3;1;Tanah Kuburan Islam
2;1;2;3;2;Tanah Kuburan Kristen
2;1;2;3;3;Tanah Kuburan Cina
2;1;2;3;4;Tanah Kuburan Hindu
2;1;2;3;5;Tanah Kuburan Budha
2;1;2;3;6;Tanah Makam Pahlawan
2;1;2;3;7;Tanah Kuburan Tempat Benda Bersejarah
2;1;2;3;8;Tanah Makam Umum/Kuburan  Umum
2;1;2;3;999;Tanah Kuburan Lainnya
2;1;3;0;0;TANAH PERTANIAN
2;1;3;1;0;SAWAH SATU TAHUN DITANAMI
2;1;3;1;1;Sawah Ditanami Padi
2;1;3;1;2;Sawah Ditanami Palawija
2;1;3;1;3;Sawah Ditanami Tebu
2;1;3;1;4;Sawah Ditanami Sayuran
2;1;3;1;5;Sawah Ditanami Tembakau
2;1;3;1;6;Sawah Ditanami Rosella
2;1;3;1;999;Sawah Ditanami Lainnya
2;1;3;2;0;TANAH KERING/TEGALAN
2;1;3;2;1;Tanah Kering Ditanami Buah-buahan
2;1;3;2;2;Tanah Kering Ditanami Tembakau
2;1;3;2;3;Tanah Kering Ditanami Jagung
2;1;3;2;4;Tanah Kering Ditanami Ketela Pohon
2;1;3;2;5;Tanah Kering Ditanami Kacang Tanah
2;1;3;2;6;Tanah Kering Ditanami Kacang Hijau
2;1;3;2;7;Tanah Kering Ditanami Kedelai
2;1;3;2;8;Tanah Kering Ditanami Ubi Jalar
2;1;3;2;9;Tanah Kering Ditanami Keladi
2;1;3;2;999;Tanah Kering Ditanami Lainnya
2;1;3;3;0;LADANG
2;1;3;3;1;Ladang Padi
2;1;3;3;2;Ladang Jagung
2;1;3;3;3;Ladang Ketela Pohon
2;1;3;3;4;Ladang Kacang Tanah
2;1;3;3;5;Ladang Kacang Hijau
2;1;3;3;6;Ladang Kedelai
2;1;3;3;7;Ladang Ubi Jalar
2;1;3;3;8;Ladang Keladi
2;1;3;3;9;Ladang Bengkuang
2;1;3;3;10;Ladang Apel
2;1;3;3;11;Ladang Kentang
2;1;3;3;12;Ladang Jeruk
2;1;3;3;999;Ladang Lainnya
2;1;4;0;0;TANAH PERKEBUNAN
2;1;4;1;0;TANAH PERKEBUNAN
2;1;4;1;1;Tanah Perkebunan Karet
2;1;4;1;2;Tanah Perkebunan Kopi
2;1;4;1;3;Tanah Perkebunan Kelapa
2;1;4;1;4;Tanah Perkebunan Randu
2;1;4;1;5;Tanah Perkebunan Lada
2;1;4;1;6;Tanah Perkebunan Teh
2;1;4;1;7;Tanah Perkebunan Kina
2;1;4;1;8;Tanah Perkebunan Coklat
2;1;4;1;9;Tanah Perkebunan Kelapa Sawit
2;1;4;1;10;Tanah Perkebunan Sereh
2;1;4;1;11;Tanah Perkebunan Cengkeh
2;1;4;1;12;Tanah Perkebunan Pala
2;1;4;1;13;Tanah Perkebunan Sagu
2;1;4;1;14;Tanah Perkebunan Jambu Mente
2;1;4;1;15;Tanah Perkebunan Tengkawang
2;1;4;1;16;Tanah Perkebunan Minyak Kayu Putih
2;1;4;1;17;Tanah Perkebunan Kayu Manis
2;1;4;1;18;Tanah Perkebunan Petai
2;1;4;1;999;Tanah Perkebunan Lainnya
2;1;5;0;0;TANAH HUTAN
2;1;5;1;0;TANAH HUTAN LEBAT (DITANAMI  JENIS KAYU UTAMA)
2;1;5;1;1;Tanah Hutan Meranti
2;1;5;1;2;Tanah Hutan Rasamala
2;1;5;1;3;Tanah Hutan Bulian
2;1;5;1;4;Tanah Hutan Medang
2;1;5;1;5;Tanah Hutan Jelutung
2;1;5;1;6;Tanah Hutan Ramin
2;1;5;1;7;Tanah Hutan Puspa
2;1;5;1;8;Tanah Hutan Sunintem
2;1;5;1;9;Tanah Hutan Albenia
2;1;5;1;10;Tanah Hutan Kayu Besi/Ulin
2;1;5;1;999;Hutan Lebat Lainnya
2;1;5;2;0;TANAH HUTAN BELUKAR
2;1;5;2;1;Tanah Hutan Semak-semak
2;1;5;2;2;Hutan Belukar
2;1;5;2;3;Hutan Belukar Lainnya
2;1;5;3;0;HUTAN TANAMAN JENIS
2;1;5;3;1;Hutan Tanaman Jati
2;1;5;3;2;Hutan Tanaman Pinus
2;1;5;3;3;Hutan Tanaman Rotan
2;1;5;3;999;Hutan Tanaman Jenis Lainnya
2;1;5;4;0;HUTAN ALAM SEJENIS/HUTAN RAWA
2;1;5;4;1;Hutan Bakau
2;1;5;4;2;Hutan Cemara (yang tidak ditanaman)
2;1;5;4;3;Hutan Galam
2;1;5;4;4;Hutan Nipah
2;1;5;4;5;Hutan Bambu
2;1;5;4;6;Hutan Rotan
2;1;5;4;999;Hutan Alam Sejenis Lainnya
2;1;5;5;0;HUTAN UNTUK PENGGUNAAN KHUSUS
2;1;5;5;1;Hutan Cadangan
2;1;5;5;2;Hutan Lindung
2;1;5;5;3;Hutan Cagar Alam
2;1;5;5;4;Hutan Taman Wisata
2;1;5;5;5;Hutan Taman Burung
2;1;5;5;6;Hutan Suaka Marga Satwa
2;1;5;5;7;Hutan Taman Nasional
2;1;5;5;8;Hutan Produksi
2;1;5;5;999;Hutan untuk Penggunaan Khusus Lainnya
2;1;6;0;0;TANAH KEBUN CAMPURAN
2;1;6;1;0;TANAH YANG TIDAK ADA JARINGAN PENGAIRAN
2;1;6;1;1;Tanaman Rupa-rupa
2;1;6;1;999;Tanah Kebun Campuran Lainnya
2;1;6;2;0;TUMBUH LIAR BERCAMPUR JENIS LAIN
2;1;6;2;1;Jenis Tanaman rupa-rupa & tidak jelas mana yang menonjol
2;1;6;2;2;Tanaman Luar Perkarangan
2;1;6;2;999;Tumbuh Liar Bercampur Jenis Lainnya
2;1;7;0;0;TANAH KOLAM IKAN
2;1;7;1;0;TAMBAK
2;1;7;1;1;Tambak
2;1;7;1;999;Tambak Lainnya
2;1;7;2;0;AIR TAWAR
2;1;7;2;1;Kolam Air Tawar
2;1;7;2;999;Air Tawar Lainnya
2;1;8;0;0;TANAH DANAU / RAWA
